fips,r_670,r_680,r_690,r_700,r_710,r_max,TO5_beta,TO7_beta,TO10_beta
2195,0.13783247452444,7.792901605619781e-15,0.0279141169710808,0.0249494406709809,0.0165253322922266,0.13783247452444,0.55,0.52,0.49
2198,0.0531610804796344,0.0588205557008962,0.0693451109208097,0.0664642928818729,0.0405277929590178,0.0693451109208097,0.38,0.35,0.33
2220,0.0631992494381374,0.0487941615187587,0.0467858402484086,0.039275171062492,0.0163897448049555,0.0631992494381374,0.37,0.34,0.32
2230,0.0309086674813412,0.0353290010704524,0.0505959915143593,0.055017230349939,0.0486614126356593,0.055017230349939,0.35,0.32,0.3
2240,0.0464677502324711,0.0661718791216573,0.0707392222512292,0.066396312721796,0.0614707062676929,0.0707392222512292,0.38,0.35,0.33
2261,0.0366004363878119,0.0583628745099023,0.066481569883494,0.0642590665314732,0.0444004641054547,0.066481569883494,0.37,0.34,0.32
2275,0.0612062196102891,0.108595918249094,0.123250805869878,0.114987697415552,0.0778519331847218,0.123250805869878,0.51,0.47,0.45
2282,0.0881681449141383,0.114340148007643,0.117032285412344,0.115651407094072,0.118459491656146,0.118459491656146,0.5,0.46,0.44
2290,0.0625540693486514,0.05877608734573,0.0542516498944828,0.0529970018456084,0.0393463405821249,0.0625540693486514,0.36,0.34,0.32
2997,0.0419243175954304,0.0579057537874622,0.0737724514650309,0.075158118183007,0.0603834960620612,0.075158118183007,0.39,0.36,0.34
2998,0.090173978882517,0.118429468486077,0.122552869392747,0.121014507677537,0.12021436341392,0.122552869392747,0.51,0.47,0.45
4001,0.0368046807407038,0.0467436019222831,0.0579826571744341,0.0600198649198519,0.0461895931790249,0.0600198649198519,0.36,0.33,0.31
4003,0.0326903513132601,0.0447594292090675,0.0607083480442119,0.0713192958878172,0.0627547418558256,0.0713192958878172,0.38,0.35,0.33
4005,0.0501416751589989,0.0571780692406036,0.0650639722266101,0.0616772740473213,0.0447223095900868,0.0650639722266101,0.37,0.34,0.32
4007,0.0235293975253398,0.0344723908272007,0.055010818232552,0.0713081457164426,0.0710840653617616,0.0713081457164426,0.38,0.35,0.33
4009,0.0292034393797254,0.0491994493527792,0.0717418591130714,0.0868647630958587,0.0761214030700804,0.0868647630958587,0.42,0.39,0.36
4011,0.0386692072586077,0.0576342115891265,0.0798368978979964,0.0960963850499213,0.103629206028806,0.103629206028806,0.46,0.43,0.4
4012,0.0449059925680621,0.0528202351287611,0.066707181919103,0.0770326711484183,0.0675256984167368,0.0770326711484183,0.39,0.37,0.34
4013,0.0438841684838202,0.0542225595941928,0.0675179367983594,0.0733496129689722,0.057761625471666,0.0733496129689722,0.39,0.36,0.34
4015,0.0443666395379399,0.0532837902787821,0.0624474726466664,0.0682146928404546,0.0607051668196363,0.0682146928404546,0.38,0.35,0.33
4017,0.0290896272001829,0.0395404641629585,0.0579644853878758,0.0750132837536876,0.0641275826268605,0.0750132837536876,0.39,0.36,0.34
4019,0.0389302227766283,0.0489704028812785,0.0595145297722184,0.0614028325453003,0.0464751747967178,0.0614028325453003,0.36,0.33,0.31
4021,0.036033985095062,0.0458978166680358,0.0629681099877051,0.0751280259322901,0.0717505665228083,0.0751280259322901,0.39,0.36,0.34
4023,0.0556570812983133,0.0678243561348711,0.0813599336792547,0.0838959390559273,0.0684704896020314,0.0838959390559273,0.41,0.38,0.36
4025,0.0142810802150893,0.0238641604632834,0.0374230234425031,0.048833269837561,0.0432696486622479,0.048833269837561,0.34,0.31,0.29
4027,0.0687558314754691,0.0739405045518825,0.0812291015980089,0.082669788889201,0.0727478014180073,0.082669788889201,0.41,0.38,0.36
