process_method,method,curve_index,a_value,rep,flow_over_population,prevalence_peak,remaining_flow_pct,epp,unrestricted_flow,unrestricted_peak,isolation_peak,epp_max
33,realtime_county_pchDextS_both,7,0.35,41,0.12955399149829197,85716.0,64.95059988879443,-777.679999999993,0.19946542714017831,108152.0,86493.68,21658.320000000007
33,realtime_county_pchDextS_both,7,0.35,42,0.12955399149829197,85310.0,64.95059988879443,-1183.679999999993,0.19946542714017831,108152.0,86493.68,21658.320000000007
33,realtime_county_pchDextS_both,7,0.35,43,0.12955399149829197,87007.0,64.95059988879443,513.320000000007,0.19946542714017831,108152.0,86493.68,21658.320000000007
33,realtime_county_pchDextS_both,7,0.35,44,0.12955399149829197,85601.0,64.95059988879443,-892.679999999993,0.19946542714017831,108152.0,86493.68,21658.320000000007
33,realtime_county_pchDextS_both,7,0.35,45,0.12955399149829197,85533.0,64.95059988879443,-960.679999999993,0.19946542714017831,108152.0,86493.68,21658.320000000007
33,realtime_county_pchDextS_both,7,0.35,46,0.12955399149829197,85052.0,64.95059988879443,-1441.679999999993,0.19946542714017831,108152.0,86493.68,21658.320000000007
33,realtime_county_pchDextS_both,7,0.35,47,0.12955399149829197,85784.0,64.95059988879443,-709.679999999993,0.19946542714017831,108152.0,86493.68,21658.320000000007
33,realtime_county_pchDextS_both,7,0.35,48,0.12955399149829197,85991.0,64.95059988879443,-502.679999999993,0.19946542714017831,108152.0,86493.68,21658.320000000007
33,realtime_county_pchDextS_both,7,0.35,49,0.12955399149829197,85941.0,64.95059988879443,-552.679999999993,0.19946542714017831,108152.0,86493.68,21658.320000000007
33,realtime_county_pchDextS_both,6,0.3,0,0.13947009593655696,87839.0,69.92193982496102,1345.320000000007,0.19946542714017831,108152.0,86493.68,21658.320000000007
33,realtime_county_pchDextS_both,6,0.3,1,0.13947009593655696,87736.0,69.92193982496102,1242.320000000007,0.19946542714017831,108152.0,86493.68,21658.320000000007
33,realtime_county_pchDextS_both,6,0.3,2,0.13947009593655696,86999.0,69.92193982496102,505.320000000007,0.19946542714017831,108152.0,86493.68,21658.320000000007
33,realtime_county_pchDextS_both,6,0.3,3,0.13947009593655696,89231.0,69.92193982496102,2737.320000000007,0.19946542714017831,108152.0,86493.68,21658.320000000007
33,realtime_county_pchDextS_both,6,0.3,4,0.13947009593655696,86647.0,69.92193982496102,153.32000000000698,0.19946542714017831,108152.0,86493.68,21658.320000000007
33,realtime_county_pchDextS_both,6,0.3,5,0.13947009593655696,87093.0,69.92193982496102,599.320000000007,0.19946542714017831,108152.0,86493.68,21658.320000000007
33,realtime_county_pchDextS_both,6,0.3,6,0.13947009593655696,86983.0,69.92193982496102,489.320000000007,0.19946542714017831,108152.0,86493.68,21658.320000000007
33,realtime_county_pchDextS_both,6,0.3,7,0.13947009593655696,88063.0,69.92193982496102,1569.320000000007,0.19946542714017831,108152.0,86493.68,21658.320000000007
33,realtime_county_pchDextS_both,6,0.3,8,0.13947009593655696,87254.0,69.92193982496102,760.320000000007,0.19946542714017831,108152.0,86493.68,21658.320000000007
33,realtime_county_pchDextS_both,6,0.3,9,0.13947009593655696,87893.0,69.92193982496102,1399.320000000007,0.19946542714017831,108152.0,86493.68,21658.320000000007
33,realtime_county_pchDextS_both,6,0.3,10,0.13947009593655696,87735.0,69.92193982496102,1241.320000000007,0.19946542714017831,108152.0,86493.68,21658.320000000007
