process_method,method,run_id,flow_over_population,prevalence_peak,peak_day,remaining_flow_pct,epp,unrestricted_flow,unrestricted_peak,isolation_peak,epp_max
31,pop_both_inverse,311,0.08952971736877163,88559.0,219,44.884829743378454,2065.320000000007,0.19946542714017831,108152.0,86493.68,21658.320000000007
31,pop_both_inverse,312,0.07960741884220074,88550.92,222,39.91038446289493,2057.2400000000052,0.19946542714017831,108152.0,86493.68,21658.320000000007
31,pop_both_inverse,313,0.06978022390516175,88705.0,217,34.98361841730212,2211.320000000007,0.19946542714017831,108152.0,86493.68,21658.320000000007
31,pop_both_inverse,314,0.05969881113711356,88492.0,212,29.929402800796666,1998.320000000007,0.19946542714017831,108152.0,86493.68,21658.320000000007
31,pop_both_inverse,315,0.04986129155964789,86297.0,213,24.9974605998296,-196.67999999999302,0.19946542714017831,108152.0,86493.68,21658.320000000007
31,pop_both_inverse,316,0.039853517805514715,87697.0,210,19.98016316757834,1203.320000000007,0.19946542714017831,108152.0,86493.68,21658.320000000007
31,pop_both_inverse,317,0.029714472628611967,86554.0,210,14.897054118420996,60.320000000006985,0.19946542714017831,108152.0,86493.68,21658.320000000007
31,pop_both_inverse,318,0.01992021685635584,85925.0,207,9.986801794155792,-568.679999999993,0.19946542714017831,108152.0,86493.68,21658.320000000007
31,pop_both_inverse,319,0.00917236786963818,85628.0,209,4.598475034569332,-865.679999999993,0.19946542714017831,108152.0,86493.68,21658.320000000007
31,pop_both_inverse,320,0.0,86303.0,211,0.0,-190.67999999999302,0.19946542714017831,108152.0,86493.68,21658.320000000007
31,county_outflow_both,300,0.19946542714017831,108152.0,221,100.0,21658.320000000007,0.19946542714017831,108152.0,86493.68,21658.320000000007
31,county_outflow_both,301,0.18948754808789667,107207.0,221,94.99768997798826,20713.320000000007,0.19946542714017831,108152.0,86493.68,21658.320000000007
31,county_outflow_both,302,0.17950212781788308,106688.0,218,89.99159924177455,20194.320000000007,0.19946542714017831,108152.0,86493.68,21658.320000000007
31,county_outflow_both,303,0.1692823699286947,106733.0,222,84.8680256803241,20239.320000000007,0.19946542714017831,108152.0,86493.68,21658.320000000007
31,county_outflow_both,304,0.1595624815907762,103427.0,223,79.99505672661785,16933.320000000007,0.19946542714017831,108152.0,86493.68,21658.320000000007
31,county_outflow_both,305,0.1495840401390799,103451.0,225,74.99246475127578,16957.320000000007,0.19946542714017831,108152.0,86493.68,21658.320000000007
